sample_name,micro_sat,size_1,size_2,height_1,height_2,binned_size_1,binned_size_2
268,D111,150.1,157.89,2252.0,541.0,153.053,159.158
268,MS1,216.96,216.96,18409.0,,220.143,220.143
268,MS6,174.32,174.32,16849.0,,176.0,176.0
268,MS7,235.67,282.3,11655.0,2684.0,238.952,283.238
268,MS8,109.29,117.6,7466.0,4645.0,111.75,120.0
8033,A105,256.03,256.03,124.0,,256.0,256.0
8033,Ai5013,249.1,249.1,19814.0,,250.889,250.889
8033,Ai5043,178.6,178.6,8917.0,,179.0,179.0
8033,Cvanu24,199.91,199.91,28259.0,,200.2,200.2
8033,Cvanu7,331.6,355.6,4723.0,1731.0,334.182,358.909
8033,D106,286.91,303.1,8899.0,7908.0,289.929,304.857
8033,D107,154.22,162.23,802.0,367.0,156.373,162.407
8033,D111,150.1,150.1,4539.0,,153.053,153.053
8033,MS1,216.85,216.85,21988.0,,220.143,220.143
8033,MS6,174.41,174.41,23185.0,,176.0,176.0
8033,MS7,254.25,265.8,10665.0,8389.0,256.667,268.476
8033,MS8,113.35,113.35,28447.0,,114.5,114.5
8873,A105,,,,,,
8873,Ai5013,223.65,241.06,2572.0,2308.0,226.444,241.722
8873,Ai5043,175.82,178.63,446.0,348.0,179.0,179.0
8873,Cvanu24,199.91,199.91,6023.0,,200.2,200.2
8873,Cvanu7,345.35,348.62,153.0,147.0,346.545,349.636
8873,D106,290.93,294.93,976.0,756.0,292.914,295.9
8873,D107,89.65,89.65,31.0,,93.017,93.017
8873,D111,150.19,150.19,1014.0,,153.053,153.053
8873,MS1,216.9,216.9,3826.0,,220.143,220.143
8873,MS6,158.01,174.11,1980.0,1556.0,161.0,176.0
8873,MS7,261.99,286.18,1263.0,938.0,262.571,286.19
8873,MS8,109.09,113.26,4195.0,3484.0,111.75,114.5
171151,A105,255.89,255.89,299.0,,256.0,256.0
171151,Ai5013,224.45,231.4,15603.0,13963.0,226.444,232.556
171151,Ai5043,175.95,178.83,4827.0,3734.0,179.0,179.0
171151,Cvanu24,200.09,200.09,30527.0,,200.2,200.2
171151,Cvanu7,331.48,331.48,3492.0,,331.091,331.091
171151,D106,295.29,303.47,7552.0,6842.0,295.9,304.857
171151,D107,127.89,140.65,1492.0,295.0,129.22,141.288
171151,D111,150.0,150.0,5024.0,,153.053,153.053
171151,MS1,216.95,216.95,32682.0,,220.143,220.143
171151,MS6,174.35,174.35,29852.0,,176.0,176.0
171151,MS7,290.39,298.1,3622.0,6584.0,292.095,298.0
171151,MS8,109.18,109.18,32285.0,,111.75,111.75
171161,A105,255.79,255.79,156.0,,256.0,256.0
171161,Ai5013,209.74,250.29,11703.0,9594.0,211.167,250.889
171161,Ai5043,175.92,178.8,3088.0,2933.0,179.0,179.0
171161,Cvanu24,200.09,200.09,22569.0,,200.2,200.2
171161,Cvanu7,328.51,331.48,2049.0,1444.0,331.091,331.091
171161,D106,287.36,484.02,5860.0,3404.0,289.929,484.0
171161,D107,166.56,191.02,196.0,190.0,168.441,192.576
171161,D111,150.09,150.09,2471.0,,153.053,153.053
171161,MS1,217.05,235.29,15005.0,14224.0,220.143,235.857
171161,MS6,174.39,174.39,23878.0,,176.0,176.0
171161,MS7,266.05,290.33,10162.0,7307.0,268.476,292.095
171161,MS8,113.41,119.71,9824.0,6648.0,114.5,120.0
171171,A105,255.91,255.91,103.0,,256.0,256.0
171171,Ai5013,237.21,238.66,9026.0,8871.0,238.667,241.722
171171,Ai5043,176.01,178.8,920.0,859.0,179.0,179.0
171171,Cvanu24,200.09,200.09,14979.0,,200.2,200.2
171171,Cvanu7,335.86,351.61,1091.0,823.0,337.273,352.727
171171,D106,324.32,324.32,4200.0,,325.757,325.757
171171,D107,166.51,178.81,332.0,382.0,168.441,180.508
171171,D111,150.09,150.09,1758.0,,153.053,153.053
171171,MS1,217.09,217.09,11858.0,,220.143,220.143
171171,MS6,174.3,174.3,18363.0,,176.0,176.0
171171,MS7,255.46,267.01,10467.0,8337.0,256.667,268.476
171171,MS8,109.2,109.2,27645.0,,111.75,111.75
17118,A105,255.85,255.85,192.0,,256.0,256.0
17118,Ai5013,201.82,213.69,15611.0,14402.0,205.056,214.222
17118,Ai5043,178.79,178.79,8675.0,,179.0,179.0
17118,Cvanu24,200.09,200.09,32631.0,,200.2,200.2
17118,Cvanu7,328.34,331.42,3884.0,2904.0,331.091,331.091
17118,D106,299.41,299.41,13082.0,,301.871,301.871
17118,D107,182.93,186.97,722.0,667.0,183.525,189.559
17118,D111,157.78,157.78,748.0,,159.158,159.158
17118,MS1,217.08,217.08,22198.0,,220.143,220.143
17118,MS6,158.17,174.38,12492.0,11523.0,161.0,176.0
17118,MS7,255.42,290.33,18482.0,3402.0,256.667,292.095
17118,MS8,113.38,117.51,19580.0,14317.0,114.5,120.0
122_tig,A105,,,,,,
122_tig,Ai5013,213.73,257.15,31746.0,24594.0,214.222,257.0
122_tig,Ai5043,181.65,181.65,11064.0,,182.0,182.0
122_tig,Cvanu24,200.0,200.0,32659.0,,200.2,200.2
122_tig,Cvanu7,328.41,351.65,9057.0,4693.0,331.091,352.727
122_tig,D106,295.4,299.43,12924.0,11387.0,295.9,301.871
122_tig,D107,127.91,127.91,665.0,,129.22,129.22
122_tig,D111,150.0,150.0,10981.0,,153.053,153.053
122_tig,MS1,217.04,217.04,30346.0,,220.143,220.143
122_tig,MS6,174.27,174.27,32567.0,,176.0,176.0
122_tig,MS7,243.81,282.56,16395.0,14654.0,244.857,283.238
122_tig,MS8,113.39,114.43,30780.0,25017.0,114.5,114.5
8450_tig,A105,,,,,,
8450_tig,Ai5013,257.14,257.14,32277.0,,257.0,257.0
8450_tig,Ai5043,178.81,178.81,7372.0,,179.0,179.0
8450_tig,Cvanu24,199.92,199.92,32614.0,,200.2,200.2
8450_tig,Cvanu7,328.32,328.32,13329.0,,331.091,331.091
8450_tig,D106,299.26,299.26,18096.0,,301.871,301.871
8450_tig,D107,178.88,178.88,114.0,,180.508,180.508
8450_tig,D111,150.0,150.0,10241.0,,153.053,153.053
8450_tig,MS1,216.99,216.99,28176.0,,220.143,220.143
8450_tig,MS6,174.18,174.18,32639.0,,176.0,176.0
8450_tig,MS7,243.79,243.79,14502.0,,244.857,244.857
8450_tig,MS8,114.31,114.31,25818.0,,114.5,114.5
